Titulo,Año,Duración,Género,Puntaje,Resumen,Director,Actor_1,Actor_2,Actor_3,Actor_4
The Lord of the Rings: The Fellowship of the Ring,2001,178,"Acción, Aventura, Drama",8.8,Un manso Hobbit de la Comarca y ocho compañeros emprenden un viaje para destruir el poderoso Anillo Único y salvar la Tierra Media del Señor Oscuro Sauron.,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean
Forrest Gump,1994,142,"Drama, Romance",8.8,"Las presidencias de Kennedy y Johnson, los acontecimientos de Vietnam, Watergate y otros acontecimientos históricos se desarrollan a través de la perspectiva de un hombre de Alabama con un coeficiente intelectual de 75, cuyo único deseo es reunirse con su novia de la infancia.",Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field
"Il buono, il brutto, il cattivo",1966,161,occidental,8.8,Una estafa de caza de recompensas une a dos hombres en una alianza incómoda contra un tercero en una carrera para encontrar una fortuna en oro enterrada en un cementerio remoto.,Sergio Leone,Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo GiuffrÃ¨
The Lord of the Rings: The Two Towers,2002,179,"Acción, Aventura, Drama",8.7,"Mientras Frodo y Sam se acercan a Mordor con la ayuda del astuto Gollum, la comunidad dividida se opone al nuevo aliado de Sauron, Saruman, y sus hordas de Isengard.",Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom
The Matrix,1999,136,"Acción, Ciencia ficción",8.7,"Cuando una hermosa desconocida lleva al pirata informático Neo a un inhóspito inframundo, descubre la impactante verdad: la vida que conoce es el elaborado engaño de una malvada ciberinteligencia.",Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss
Goodfellas,1990,146,"Biografía, Crimen, Drama",8.7,"La historia de Henry Hill y su vida en la mafia, que cubre su relación con su esposa Karen Hill y sus socios de la mafia Jimmy Conway y Tommy DeVito en el sindicato criminal italoamericano.",Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco
Star Wars: Episode V - The Empire Strikes Back,1980,124,"Acción, Aventura, Fantasía",8.7,"Después de que los rebeldes son brutalmente dominados por el Imperio en el planeta helado Hoth, Luke Skywalker comienza el entrenamiento Jedi con Yoda, mientras sus amigos son perseguidos por Darth Vader y un cazarrecompensas llamado Boba Fett por toda la galaxia.",Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams
One Flew Over the Cuckoo's Nest,1975,133,Drama,8.7,"Un criminal se declara loco y es admitido en una institución mental, donde se rebela contra la opresiva enfermera y anima a los asustados pacientes.",Milos Forman,Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco
Hamilton,2020,160,"Biografía, Drama, Historia",8.6,"La vida real de uno de los principales padres fundadores de Estados Unidos y primer Secretario del Tesoro, Alexander Hamilton. Capturado en vivo en Broadway desde el Teatro Richard Rodgers con el elenco original de Broadway.",Thomas Kail,Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,RenÃ©e Elise Goldsberry
Gisaengchung,2019,132,"Comedia, Drama, Suspense",8.6,La codicia y la discriminación de clases amenazan la recién formada relación simbiótica entre la rica familia Park y el indigente clan Kim.,Bong Joon Ho,Kang-ho Song,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-sik
Soorarai Pottru,2020,153,Drama,8.6,"Nedumaaran Rajangam ""Maara"" se propone hacer volar al hombre común y en el proceso se enfrenta a la industria más intensiva en capital del mundo y a varios enemigos que se interponen en su camino.",Sudha Kongara,Suriya,Madhavan,Paresh Rawal,Aparna Balamurali
Interstellar,2014,169,"Aventura, Drama, Ciencia ficción",8.6,Un equipo de exploradores viaja a través de un agujero de gusano en el espacio en un intento por asegurar la supervivencia de la humanidad.,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy
Cidade de Deus,2002,130,"Drama, Crimen",8.6,"En los barrios marginales de Río, los caminos de dos niños divergen mientras uno lucha por convertirse en fotógrafo y el otro en capo.",Fernando Meirelles,KÃ¡tia Lund,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele
Sen to Chihiro no kamikakushi,2001,125,"Animación, Aventura, Familia",8.6,"Durante el traslado de su familia a los suburbios, una hosca niña de 10 años se adentra en un mundo gobernado por dioses, brujas y espíritus, y donde los humanos se transforman en bestias.",Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi
Saving Private Ryan,1998,169,"Drama, Guerra",8.6,"Después del Desembarco de Normandía, un grupo de soldados estadounidenses va detrás de las líneas enemigas para recuperar a un paracaidista cuyos hermanos murieron en combate.",Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns
The Green Mile,1999,189,"Crimen, Drama, Fantasía",8.6,"Las vidas de los guardias del corredor de la muerte se ven afectadas por uno de sus cargos: un hombre negro acusado de asesinato y violación de niños, pero que tiene un don misterioso.",Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt
La vita Ã¨ bella,1997,116,"Comedia, Drama, Romance",8.6,"Cuando un bibliotecario judío de mente abierta y su hijo se convierten en víctimas del Holocausto, utiliza una mezcla perfecta de voluntad, humor e imaginación para proteger a su hijo de los peligros que rodean su campamento.",Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano
Se7en,1995,127,"Crimen, Drama, Misterio",8.6,"Dos detectives, un novato y un veterano, cazan a un asesino en serie que utiliza los siete pecados capitales como motivos.",David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker
The Silence of the Lambs,1991,118,"Crimen, Drama, Suspense",8.6,"Un joven F.B.I. El cadete debe recibir la ayuda de un asesino caníbal encarcelado y manipulador para ayudar a atrapar a otro asesino en serie, un loco que despelleja a sus víctimas.",Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons
Star Wars,1977,121,"Acción, Aventura, Fantasía",8.6,"Luke Skywalker une fuerzas con un Caballero Jedi, un piloto engreído, un wookiee y dos droides para salvar la galaxia de la estación de batalla del Imperio que destruye el mundo, mientras intenta rescatar a la Princesa Leia del misterioso Darth Vader.",George Lucas,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness
Seppuku,1962,133,"Acción, Drama, Misterio",8.6,"Cuando un ronin que solicita seppuku en el palacio de un señor feudal se entera del brutal suicidio de otro ronin que lo visitó anteriormente, revela cómo sus pasados ​​están entrelazados y, al hacerlo, desafía la integridad del clan.",Masaki Kobayashi,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,TetsurÃ´ Tanba
Shichinin no samurai,1954,207,"Acción, Aventura, Drama",8.6,Una aldea pobre atacada por bandidos recluta a siete samuráis desempleados para que les ayuden a defenderse.,Akira Kurosawa,ToshirÃ´ Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki
It's a Wonderful Life,1946,130,"Drama, Familia, Fantasía",8.6,Un ángel es enviado desde el cielo para ayudar a un hombre de negocios desesperadamente frustrado mostrándole cómo habría sido la vida si nunca hubiera existido.,Frank Capra,James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell
Joker,2019,122,"Crimen, Drama, Suspense",8.5,"En Gotham City, el comediante Arthur Fleck, con problemas mentales, es ignorado y maltratado por la sociedad. Luego se embarca en una espiral descendente de revolución y crímenes sangrientos. Este camino lo enfrenta cara a cara con su alter ego: el Joker.",Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy
Whiplash,2014,106,"Drama, Música",8.5,"Un joven baterista prometedor se inscribe en un conservatorio de música feroz, donde sus sueños de grandeza son guiados por un instructor que no se detendrá ante nada para desarrollar el potencial de un estudiante.",Damien Chazelle,Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser
The Intouchables,2011,112,"Biografía, Comedia, Drama",8.5,"Después de quedar tetrapléjico debido a un accidente de parapente, un aristócrata contrata a un joven de los proyectos para que sea su cuidador.",Olivier Nakache,Ãric Toledano,FranÃ§ois Cluzet,Omar Sy,Anne Le Ny
The Prestige,2006,130,"Drama, Misterio, Ciencia ficción",8.5,"Después de un trágico accidente, dos magos del escenario se involucran en una batalla para crear la ilusión definitiva mientras sacrifican todo lo que tienen para burlarse mutuamente.",Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine
The Departed,2006,151,"Crimen, Drama, Suspense",8.5,Un policía encubierto y un topo de la policía intentan identificarse mientras se infiltran en una pandilla irlandesa en el sur de Boston.,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg
The Pianist,2002,150,"Biografía, Drama, Música",8.5,Un músico judío polaco lucha por sobrevivir a la destrucción del gueto de Varsovia durante la Segunda Guerra Mundial.,Roman Polanski,Adrien Brody,Thomas Kretschmann,Frank Finlay,Emilia Fox
Gladiator,2000,155,"Acción, Aventura, Drama",8.5,Un ex general romano se propone vengarse del corrupto emperador que asesinó a su familia y lo envió a la esclavitud.,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed
American History X,1998,119,Drama,8.5,Un ex skinhead neonazi intenta evitar que su hermano menor siga el mismo camino equivocado que él.,Tony Kaye,Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien
The Usual Suspects,1995,106,"Crimen, Misterio, Suspense",8.5,"Un único superviviente cuenta los sinuosos acontecimientos que condujeron a un horrible tiroteo en un barco, que comenzó cuando cinco delincuentes se encontraron en una formación policial aparentemente aleatoria.",Bryan Singer,Kevin Spacey,Gabriel Byrne,Chazz Palminteri,Stephen Baldwin
LÃ©on,1994,110,"Acción, Crimen, Drama",8.5,"Mathilda, una niña de 12 años, es acogida a regañadientes por Léon, un asesino profesional, después de que asesinan a su familia. Se forma una relación inusual cuando ella se convierte en su protegida y aprende el oficio de asesino.",Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello
The Lion King,1994,88,"Animación, Aventura, Drama",8.5,"El príncipe león Simba y su padre son el objetivo de su amargado tío, que quiere ascender él mismo al trono.",Roger Allers,Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones
Terminator 2: Judgment Day,1991,137,"Acción, Ciencia ficción",8.5,"Un cyborg, idéntico al que no logró matar a Sarah Connor, ahora debe proteger a su hijo adolescente, John Connor, de un cyborg más avanzado y poderoso.",James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick
Nuovo Cinema Paradiso,1988,155,"Drama, Romance",8.5,Un cineasta recuerda su infancia cuando se enamoró de las películas del cine de su pueblo natal y entabla una profunda amistad con el proyeccionista del cine.,Giuseppe Tornatore,Philippe Noiret,Enzo Cannavale,Antonella Attili,Isa Danieli
Hotaru no haka,1988,89,"Animación, Drama, Guerra",8.5,Un niño y su hermana pequeña luchan por sobrevivir en Japón durante la Segunda Guerra Mundial.,Isao Takahata,Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi,Yoshiko Shinohara
Back to the Future,1985,116,"Aventura, Comedia, Ciencia ficción",8.5,"Marty McFly, un estudiante de secundaria de 17 años, es enviado accidentalmente treinta años al pasado en un DeLorean que viaja en el tiempo inventado por su amigo cercano, el excéntrico científico Doc Brown.",Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover
Once Upon a Time in the West,1968,165,occidental,8.5,Un misterioso extraño con una armónica une fuerzas con un notorio desesperado para proteger a una hermosa viuda de un despiadado asesino que trabaja para el ferrocarril.,Sergio Leone,Henry Fonda,Charles Bronson,Claudia Cardinale,Jason Robards
Psycho,1960,109,"Terror, Misterio, Suspense",8.5,"Una secretaria de Phoenix malversa 40.000 dólares del cliente de su empleador, se da a la fuga y se registra en un motel remoto dirigido por un joven bajo el dominio de su madre.",Alfred Hitchcock,Anthony Perkins,Janet Leigh,Vera Miles,John Gavin
Casablanca,1942,102,"Drama, Romance, Guerra",8.5,Un cínico expatriado propietario de un café estadounidense lucha por decidir si ayudar o no a su ex amante y a su marido fugitivo a escapar de los nazis en el Marruecos francés.,Michael Curtiz,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains
Modern Times,1936,87,"Comedia, Drama, Familia",8.5,El Vagabundo lucha por vivir en la sociedad industrial moderna con la ayuda de una joven sin hogar.,Charles Chaplin,Charles Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford
City Lights,1931,87,"Comedia, Drama, Romance",8.5,"Con la ayuda de un rico bebedor errático, un vagabundo de ojos húmedos que se ha enamorado de una florista ciega acumula dinero para poder ayudarla médicamente.",Charles Chaplin,Charles Chaplin,Virginia Cherrill,Florence Lee,Harry Myers
CapharnaÃ¼m,2018,126,Drama,8.4,"Mientras cumple una condena de cinco años por un delito violento, un niño de 12 años demanda a sus padres por negligencia.",Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Kawsar Al Haddad
Ayla: The Daughter of War,2017,125,"Biografía, Drama, Historia",8.4,"En 1950, en medio de los estragos de la Guerra de Corea, el sargento Süleyman se topa con una niña medio congelada, sin padres y sin ayuda a la vista. Frenético, asustado y al borde de la muerte,... Ver resumen completo»",Can Ulkay,Erdem Can,Ãetin Tekindor,Ismail Hacioglu,Kyung-jin Lee
Vikram Vedha,2017,147,"Acción, Crimen, Drama",8.4,"Vikram, un policía sensato, acompañado por Simon, su compañero, está a la caza de capturar a Vedha, un contrabandista y asesino. Vedha intenta cambiar la vida de Vikram, lo que genera un conflicto.",Gayatri,Pushkar,Madhavan,Vijay Sethupathi,Shraddha Srinath
Kimi no na wa.,2016,106,"Animación, Drama, Fantasía",8.4,"Dos extraños se encuentran vinculados de una manera extraña. Cuando se forme una conexión, ¿será la distancia lo único que los mantendrá separados?",Makoto Shinkai,RyÃ»nosuke Kamiki,Mone Kamishiraishi,RyÃ´ Narita,Aoi YÃ»ki
Dangal,2016,161,"Acción, Biografía, Drama",8.4,El exluchador Mahavir Singh Phogat y sus dos hijas luchadoras luchan por alcanzar la gloria en los Juegos de la Commonwealth frente a la opresión social.,Nitesh Tiwari,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra
Spider-Man: Into the Spider-Verse,2018,117,"Animación, Acción, Aventura",8.4,El adolescente Miles Morales se convierte en el Spider-Man de su universo y debe unirse a cinco individuos de otras dimensiones con poderes de arañas para detener una amenaza para todas las realidades.,Bob Persichetti,Peter Ramsey,Rodney Rothman,Shameik Moore,Jake Johnson
Avengers: Endgame,2019,181,"Acción, Aventura, Drama",8.4,"Tras los devastadores acontecimientos de Vengadores: Infinity War (2018), el universo está en ruinas. Con la ayuda de los aliados restantes, los Vengadores se reúnen una vez más para revertir las acciones de Thanos y restablecer el equilibrio del universo.",Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo
Avengers: Infinity War,2018,149,"Acción, Aventura, Ciencia ficción",8.4,Los Vengadores y sus aliados deben estar dispuestos a sacrificarlo todo en un intento de derrotar al poderoso Thanos antes de que su bombardeo de devastación y ruina ponga fin al universo.,Anthony Russo,Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo
Coco,2017,105,"Animación, Aventura, Familia",8.4,"El aspirante a músico Miguel, confrontado con la prohibición ancestral de la música por parte de su familia, ingresa a la Tierra de los Muertos para encontrar a su tatarabuelo, un cantante legendario.",Lee Unkrich,Adrian Molina,Anthony Gonzalez,Gael GarcÃ­a Bernal,Benjamin Bratt
Django Unchained,2012,165,"Drama, Western",8.4,"Con la ayuda de un cazarrecompensas alemán, un esclavo liberado se propone rescatar a su esposa de un brutal dueño de una plantación en Mississippi.",Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington
The Dark Knight Rises,2012,164,Acción Aventura,8.4,"Ocho años después del reinado de anarquía del Joker, Batman, con la ayuda de la enigmática Catwoman, se ve obligado a salir de su exilio para salvar Gotham City del brutal guerrillero terrorista Bane.",Christopher Nolan,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman
3 Idiots,2009,170,Comedia dramática,8.4,"Dos amigos buscan a su compañero perdido hace mucho tiempo. Vuelven a visitar sus días universitarios y recuerdan los recuerdos de su amigo que los inspiró a pensar de manera diferente, incluso cuando el resto del mundo los llamaba ""idiotas"".",Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,Sharman Joshi
Taare Zameen Par,2007,165,"Drama, Familia",8.4,"Se cree que un niño de ocho años es un perezoso y alborotador, hasta que el nuevo profesor de arte tiene la paciencia y la compasión para descubrir el verdadero problema detrás de sus luchas en la escuela.",Aamir Khan,Amole Gupte,Darsheel Safary,Aamir Khan,Tisca Chopra
WALLÂ·E,2008,98,"Animación, Aventura, Familia",8.4,"En un futuro lejano, un pequeño robot recolector de residuos se embarca sin querer en un viaje espacial que, en última instancia, decidirá el destino de la humanidad.",Andrew Stanton,Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard
The Lives of Others,2006,137,"Drama, Misterio, Suspense",8.4,"En 1984, Berlín Oriental, un agente de la policía secreta que vigila a un escritor y a su amante se ve cada vez más absorbido por sus vidas.",Florian Henckel von Donnersmarck,Ulrich MÃ¼he,Martina Gedeck,Sebastian Koch,Ulrich Tukur
Oldeuboi,2003,101,"Acción, Drama, Misterio",8.4,"Después de ser secuestrado y encarcelado durante quince años, Oh Dae-Su es liberado, sólo para descubrir que debe encontrar a su captor en cinco días.",Chan-wook Park,Choi Min-sik,Yoo Ji-Tae,Kang Hye-jeong,Kim Byeong-Ok
Memento,2000,113,"Misterio, Suspense",8.4,Un hombre con pérdida de memoria a corto plazo intenta localizar al asesino de su esposa.,Christopher Nolan,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior
Mononoke-hime,1997,134,"Animación, Acción, Aventura",8.4,"En un viaje para encontrar la cura para la maldición de un Tatarigami, Ashitaka se encuentra en medio de una guerra entre los dioses del bosque y Tatara, una colonia minera. En esta búsqueda también conoce a San, Mononoke Hime.",Hayao Miyazaki,YÃ´ji Matsuda,Yuriko Ishida,YÃ»ko Tanaka,Billy Crudup
Once Upon a Time in America,1984,229,"Drama, Crimen",8.4,"Un ex gángster judío de la era de la Prohibición regresa al Lower East Side de Manhattan más de treinta años después, donde una vez más debe enfrentarse a los fantasmas y arrepentimientos de su antigua vida.",Sergio Leone,Robert De Niro,James Woods,Elizabeth McGovern,Treat Williams
Raiders of the Lost Ark,1981,115,Acción Aventura,8.4,"En 1936, el arqueólogo y aventurero Indiana Jones es contratado por el gobierno de los Estados Unidos para encontrar el Arca de la Alianza antes de que los nazis de Adolf Hitler puedan obtener sus asombrosos poderes.",Steven Spielberg,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies
The Shining,1980,146,"Drama, Terror",8.4,"Una familia se dirige a un hotel aislado para pasar el invierno, donde una presencia siniestra influye en el padre hacia la violencia, mientras que su hijo psíquico ve horrendos presentimientos tanto del pasado como del futuro.",Stanley Kubrick,Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers
Apocalypse Now,1979,147,"Drama, Misterio, Guerra",8.4,Un oficial del ejército estadounidense que sirve en Vietnam tiene la tarea de asesinar a un coronel renegado de las fuerzas especiales que se ve a sí mismo como un dios.,Francis Ford Coppola,Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest
Alien,1979,117,"Terror, Ciencia ficción",8.4,"Después de que una nave mercante espacial recibe una transmisión desconocida como una llamada de socorro, uno de los tripulantes es atacado por una misteriosa forma de vida y pronto se dan cuenta de que su ciclo de vida apenas ha comenzado.",Ridley Scott,Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright
Anand,1971,122,"Drama, Musical",8.4,"La historia de un hombre con una enfermedad terminal que desea vivir la vida al máximo antes de que ocurra lo inevitable, contada por su mejor amigo.",Hrishikesh Mukherjee,Rajesh Khanna,Amitabh Bachchan,Sumita Sanyal,Ramesh Deo
Tengoku to jigoku,1963,143,"Crimen, Drama, Misterio",8.4,Un ejecutivo de una empresa de calzado es víctima de extorsión cuando el hijo de su chófer es secuestrado y retenido para pedir un rescate.,Akira Kurosawa,ToshirÃ´ Mifune,Yutaka Sada,Tatsuya Nakadai,KyÃ´ko Kagawa
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,Comedia,8.4,Un general loco desencadena un camino hacia un holocausto nuclear que una Sala de Guerra llena de políticos y generales intenta desesperadamente detener.,Stanley Kubrick,Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn
Witness for the Prosecution,1957,116,"Crimen, Drama, Misterio",8.4,Un veterano abogado británico debe defender a su cliente en un juicio por asesinato que tiene sorpresa tras sorpresa.,Billy Wilder,Tyrone Power,Marlene Dietrich,Charles Laughton,Elsa Lanchester
Paths of Glory,1957,88,"Drama, Guerra",8.4,"Tras negarse a atacar una posición enemiga, un general acusa a los soldados de cobardía y su comandante debe defenderlos.",Stanley Kubrick,Kirk Douglas,Ralph Meeker,Adolphe Menjou,George Macready
Rear Window,1954,112,"Misterio, Suspense",8.4,Un fotógrafo en silla de ruedas espía a sus vecinos desde la ventana de su apartamento y se convence de que uno de ellos ha cometido un asesinato.,Alfred Hitchcock,James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter
Sunset Blvd.,1950,110,"Drama, Cine negro",8.4,Un guionista desarrolla una relación peligrosa con una estrella de cine descolorida decidida a hacer un regreso triunfal.,Billy Wilder,William Holden,Gloria Swanson,Erich von Stroheim,Nancy Olson
The Great Dictator,1940,125,"Comedia, Drama, Guerra",8.4,El dictador Adenoid Hynkel intenta expandir su imperio mientras un barbero judío pobre intenta evitar la persecución del régimen de Hynkel.,Charles Chaplin,Charles Chaplin,Paulette Goddard,Jack Oakie,Reginald Gardiner
1917,2019,119,"Drama, Suspense, Guerra",8.3,"6 de abril de 1917. Mientras un regimiento se reúne para librar una guerra en lo profundo del territorio enemigo, se asigna a dos soldados para correr contra el tiempo y entregar un mensaje que evitará que 1.600 hombres caminen directamente hacia una trampa mortal.",Sam Mendes,Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth
Tumbbad,2018,104,"Drama, Fantasía, Terror",8.3,Una historia mitológica sobre una diosa que creó el universo entero. La trama gira en torno a las consecuencias cuando los humanos construyen un templo para su primogénito.,Rahi Anil Barve,Anand Gandhi,Adesh Prasad,Sohum Shah,Jyoti Malshe
Andhadhun,2018,139,"Crimen, Drama, Música",8.3,"Una serie de misteriosos acontecimientos cambian la vida de un pianista ciego, que ahora debe denunciar un crimen del que técnicamente no debería saber nada.",Sriram Raghavan,Ayushmann Khurrana,Tabu,Radhika Apte,Anil Dhawan
Drishyam,2013,160,"Crimen, Drama, Suspense",8.3,Un hombre hace todo lo posible para salvar a su familia del castigo después de que la familia comete un crimen accidental.,Jeethu Joseph,Mohanlal,Meena,Asha Sharath,Ansiba
Jagten,2012,115,Drama,8.3,"Un maestro vive una vida solitaria, mientras lucha por la custodia de su hijo. Su vida mejora poco a poco a medida que encuentra el amor y recibe buenas noticias de su hijo, pero su nueva suerte está a punto de verse brutalmente destrozada por una pequeña mentira inocente.",Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,Lasse FogelstrÃ¸m
Jodaeiye Nader az Simin,2011,123,Drama,8.3,Una pareja casada se enfrenta a una decisión difícil: mejorar la vida de su hijo mudándose a otro país o quedarse en Irán y cuidar de un padre deteriorado que tiene la enfermedad de Alzheimer.,Asghar Farhadi,Payman Maadi,Leila Hatami,Sareh Bayat,Shahab Hosseini
Incendies,2010,131,"Drama, Misterio, Guerra",8.3,Unos gemelos viajan al Medio Oriente para descubrir su historia familiar y cumplir los últimos deseos de su madre.,Denis Villeneuve,Lubna Azabal,MÃ©lissa DÃ©sormeaux-Poulin,Maxim Gaudette,Mustafa Kamel
Miracle in cell NO.7,2019,132,Drama,8.3,Una historia de amor entre un padre con una enfermedad mental acusado injustamente de asesinato y su encantadora hija de seis años. La prisión sería su hogar. Basado en la película coreana de 2013 7-beon-bang-ui seon-mul (2013).,Mehmet Ada Ãztekin,Aras Bulut Iynemli,Nisa Sofiya Aksongur,Deniz Baysal,Celile Toyon Uysal
Babam ve Oglum,2005,112,"Drama, Familia",8.3,La familia de un periodista de izquierda está destrozada tras el golpe militar de Turquía en 1980.,Ãagan Irmak,Ãetin Tekindor,Fikret Kuskan,HÃ¼meyra,Ege Tanman
Inglourious Basterds,2009,153,"Aventura, Drama, Guerra",8.3,"En la Francia ocupada por los nazis durante la Segunda Guerra Mundial, un plan para asesinar a líderes nazis por parte de un grupo de soldados judíos estadounidenses coincide con los planes vengativos del propietario de un teatro para lo mismo.",Quentin Tarantino,Brad Pitt,Diane Kruger,Eli Roth,MÃ©lanie Laurent
